Tamaño,Insercion,Busqueda,Multiplicacion
50,0.0000099,0.0000110,0.0000153
250,0.0000800,0.0002015,0.0011855
500,0.0002483,0.0006327,0.0166304
1000,0.0007489,0.0027243,0.1806070
5000,0.0137104,0.0417684,3.1494200
